State,Index
Mississippi,85.7
Oklahoma,88.1
Arkansas,88.4
Missouri,88.8
Michigan,89.3
Alabama,89.5
Tennessee,89.5
Kansas,89.7
Indiana,90.1
Wyoming,90.5
Georgia,91.2
Texas,91.3
Iowa,91.8
Kentucky,91.8
New Mexico,92.8
Ohio,92.8
Nebraska,93.3
Louisiana,93.6
North Carolina,94
Idaho,94.2
West Virginia,94.7
Illinois,95.7
Wisconsin,95.8
Arizona,97.7
Utah,98.2
South Carolina,98.3
South Dakota,98.5
Pennsylvania,98.6
North Dakota,98.7
Florida,98.9
Minnesota,101.5
Virginia,102
Montana,104
Colorado,105.5
Delaware,106
Nevada,108.3
New Hampshire,109.3
Washington,109.5
Maine,117.2
Vermont,118.7
New Jersey,122.5
Rhode Island,122.5
Connecticut,128.8
Alaska,130.6
Oregon,131.2
Maryland,131.3
Massachusetts,133.8
New York,135.7
California,138.7
District of Columbia,162.9
Hawaii,190.1